Name;Type;Faction;Number;Cost;Wincon;Health;Suspicion;Mystery;Stability;Tool Activation;Stamina;Basic Text
"Mistake Observer";"Retainer";"CH";"189/288";"2";"";"-1";"0";"0";"-1";"";"2";"Whenever you discard a retainer from the wilds, this retainer gains 1 stamina."
"Surviving Friend";"Retainer";"TC";"260/288";"4";"";"0";"0";"0";"0";"";"3";"This retainer has -1 suspicion and -1 stability for each retainer in your discard pile."
"Ecological Niche";"Biome";"R";"118/288";"4";"";"";"";"";"";"";"";"When you play this card, choose a monster category.Retainers you control get -1 mystery while assigned to a monster of the chosen category."
"Extended Preparation";"Event";"R";"125/288";"4";"";"";"";"";"";"";"";"After this main phase there is another tracking phase followed by a new main phase.
You gain 2 additional tracks in the next tracking phase."
"Multitrack Analyzer";"Tool";"R";"196/288";"2";"";"";"";"";"";"During the tracking phase";"";"Gain 1 track"
"Exploration Tax";"Tool";"T";"123/288";"2";"";"";"";"";"";"During the main phase";"";"When a player plays a card, prevent that card unless its player pays 1 track.Use this only once per main phase."
"Steroid Syringe";"Disposable Tool";"C";"256/288";"3";"";"";"";"";"";"In the adventure phase";"";"Target monster gains 1 health, 1 suspicion and 1 mystery"
"Last Minute Support";"Disposable Tool";"T";"172/288";"2";"";"";"";"";"";"When a monster gets claimed";"";"Prevent that claim."
"Behavioral Study";"Tool";"R";"64/288";"3";"";"";"";"";"";"When a retainer is taken over";"";"Gain 2 tracks"
"Forced Seize";"Event";"T";"144/288";"4";"";"";"";"";"";"";"";"Take over target tool"
"Whispering Corruptor";"Retainer";"TC";"284/288";"5";"";"0";"-1";"0";"-1";"";"3";"When this retainer is assigned to a monster, take over target retainer assigned to the same monster until the end of the next round."
"Staged Coup";"Disposable Tool";"C";"254/288";"3";"";"";"";"";"";"When an opponent plays an event card";"";"Take over that event."
"Space Distortion";"Event";"C";"250/288";"5";"";"";"";"";"";"";"";"Choose 2 different players that control a biome.If you did, they take over each other's biomes."
"Research Base Construction";"Event";"R";"221/288";"5";"";"";"";"";"";"";"";"If you control a biome, discard a biome.Take over target biome."
"Inventory Count";"Event";"T";"168/288";"3";"";"";"";"";"";"";"";"Each player takes over all cards in the wilds, that they own."
"Forced Persuasion";"Event";"CH";"143/288";"3";"";"";"";"";"";"";"";"Take over target retainer until the end of the round."
"Twin Campus Arrangement";"Disposable Tool";"R";"272/288";"4";"";"";"";"";"";"When you would discard a biome";"";"Prevent that discard."
"Restraining Order";"Event";"T";"225/288";"2";"";"";"";"";"";"";"";"Ward target monster's suspicion this round."
"Sanctuary Zone";"Biome";"T";"238/288";"4";"";"";"";"";"";"";"";"Monsters that have no retainers assigned to them are warded."
"Peer Reviewed";"Disposable Tool";"R";"203/288";"2";"";"";"";"";"";"When a monster's mystery reaches 2 or less.";"";"That monster's mystery is warded."
"Studious Baitmaker";"Retainer";"HR";"257/288";"3";"";"0";"0";"-1";"0";"";"4";"Monsters this retainer is assigned to are warded."
"Corruption Enhancer";"Disposable Tool";"C";"100/288";"4";"";"";"";"";"";"When one of the stats of a monster with 3 or more categories reaches 0";"";"You may claim that monster this round independent of its stats."
"Purge the Ranks";"Event";"CH";"209/288";"4";"";"";"";"";"";"";"";"Each retainer exhausts."
"Tamers Embassy";"Biome";"T";"262/288";"4";"";"";"";"";"";"";"";"Retainers you control can't be exhausted by effects your opponents control."
"Self-firing System";"Tool";"T";"246/288";"1";"";"";"";"";"";"When a tool becomes the target of an effect";"";"Prevent that effect.Then reset this tool."
"Sure-fire Wayfinder";"Retainer";"RT";"259/288";"3";"";"0";"0";"0";"0";"";"4";"Retainers you control can't be prevented from being assigned to a monster this retainer is assigned to.
Retainers can't be unassigned or reassigned while assigned to the same monster as this retainer."
"Sedative Gas ";"Event";"T";"244/288";"4";"";"";"";"";"";"";"";"Cancel all monsters in the wilds."
"Base Repurposement";"Event";"R";"61/288";"4";"";"";"";"";"";"";"";"Put a biome from your discard pile back into the wilds."
"Mist of Stupor";"Event";"C";"188/288";"3";"";"";"";"";"";"";"";"Cancel all retainers until the end of the round."
"Coordinated Attack";"Event";"C";"95/288";"4";"";"";"";"";"";"";"";"Each retainer you don't control exhausts."
"Field Research";"Event";"R";"134/288";"2";"";"";"";"";"";"";"";"Draw a card. You gain 1 track for each biome you control in the wilds and each biome in your discard pile."
"Cooperation Survey Ground";"Biome";"R";"94/288";"3";"";"";"";"";"";"";"";"Whenever a retainer you control is assigned to a monster another one of your retainers is assigned to, draw a card."
"Cross Field Student";"Retainer";"R";"106/288";"3";"";"0";"0";"-1";"0";"";"4";"When a stat of a monster this retainer is assigned to is reduced to 0, you gain 1 track at the end of the next tracking phase."
"Gold Star Reward";"Disposable Tool";"T";"155/288";"2";"";"";"";"";"";"When a retainer is assigned";"";"that retainer can't exhaust until the end of the round."
"Forced Wilds Rescue";"Event";"T";"146/288";"3";"";"";"";"";"";"";"";"Return target retainer from the wilds to its owner's hand."
"Corrupt the Trail";"Event";"C";"97/288";"4";"";"";"";"";"";"";"";"Until end of round, whenever a monster's Health, Suspicion or Mystery is reduced by an effect, the effect's controller loses 1 track."
"Whispering Madness";"Event";"C";"285/288";"3";"";"";"";"";"";"";"";"Until end of round, invert all modifiers of target retainer."
"Biome Specialist";"Retainer";"R";"67/288";"4";"";"0";"0";"-1";"0";"";"4";"While you control a biome, this retainer can't exhaust.
This retainer gets -1 Mystery for each biome you control."
"Coordinated Relocation";"Disposable Tool";"T";"96/288";"3";"";"";"";"";"";"During the adventure phase";"";"Choose two retainers assigned to different monsters.
Exchange which monsters they're assigned to."
"Camp Cook";"Retainer";"RT";"77/288";"3";"";"0";"0";"0";"0";"";"4";"When this retainer becomes unassigned, another target retainer gains 1 stamina."
"Monster Zealot";"Retainer";"C";"195/288";"4";"";"0";"0";"0";"-1";"";"5";"Whenever this retainer exhausts, target monster loses 1 stability."
"Mirror of Returning";"Disposable Tool";"T";"186/288";"3";"";"";"";"";"";"During the adventure phase";"";"Return target retainer you control to its owner's hand."
"Efficiency Duplicator";"Tool";"T";"119/288";"5";"";"";"";"";"";"When a tool you control is activated";"";"You may resolve that tool's effect an additional time.Then reset this tool."
"Claim Dispute";"Disposable Tool";"T";"87/288";"2";"";"";"";"";"";"When a monster becomes claimable by 2 or more players";"";"The monster can't be claimed this round."
"Use of Failure";"Event";"C";"281/288";"2";"";"";"";"";"";"";"";"Discard a retainer you control.
If you do, reduce target monster's stability by 2 and increase one of its stats by 1."
"Ritual Preparations";"Tool";"C";"230/288";"2";"";"";"";"";"";"When a monster's stats are increased";"";"Double that increase, then reset this tool."
"Boneyard";"Biome";"C";"71/288";"4";"";"";"";"";"";"";"";"Whenever a monster is claimed, target monster loses stability equal to the number of retainers in your discard pile."
"Autopsy Report";"Tool";"HR";"59/288";"3";"";"";"";"";"";"When you claim a monster";"";"target monster loses 1 health and 1 mystery."
"Serrated Blade";"Disposable Tool";"CH";"247/288";"1";"";"";"";"";"";"When a retainer you control, reduces a monster's stability or health";"";"Ward all stats of that monster, that the retainer reduced until the end of the next round. Then increase all other stats by 1."
"Forced Deployment";"Tool";"HR";"141/288";"2";"";"";"";"";"";"During the adventure phase";"";"Put a Retainer from your hand into the wilds, discard that retainer during the next end phase. Reset this tool."
"Scrapyard Plundering";"Event";"TC";"243/288";"2";"";"";"";"";"";"";"";"You may play disposable tool cards from your discard pile this round."
"Reverse Retirement";"Event";"CH";"229/288";"2";"";"";"";"";"";"";"";"You may play target retainer from your discard pile this round."
"Weak Point Analysis";"Event";"HR";"282/288";"1";"";"";"";"";"";"";"";"Reduce target monster's health by 1 and mystery by 1."
"Bigger Fish Hypothesis";"Tool";"HR";"66/288";"1";"";"";"";"";"";"When you assign a retainer to a monster";"";"You may look at the top card of the monster deck."
"Disposable Slayer";"Retainer";"CH";"114/288";"2";"";"-1";"0";"0";"-1";"";"2";"When this retainer is discarded, reduce one of target monster's stats by 1."
"Brutal Preparation";"Event";"CH";"74/288";"4";"";"";"";"";"";"";"";"Exhaust target retainer you control.Double its modifiers until end of round."
"Training Schedule";"Disposable Tool";"RT";"268/288";"2";"";"";"";"";"";"When a retainer would exhaust";"";"Prevent that exhaustion.That retainer gains 1 stamina."
"Handler's Betrayal";"Disposable Tool";"TC";"158/288";"2";"";"";"";"";"";"When a retainer is assigned";"";"Take over that retainer until end of round."
"Cross-Species Study";"Tool";"RT";"107/288";"3";"";"";"";"";"";"Whenever you assign a retainer to a monster that shares a category with another monster you have a retainer assigned to";"";"Draw a card."
"Calculated Strike";"Event";"HR";"76/288";"1";"";"";"";"";"";"";"";"Target retainer you control gets -1 health until end of round.
 If that retainer reduces a monster's health this round, draw a card."
"Weakness Archive";"Biome";"HR";"283/288";"4";"";"";"";"";"";"";"";"Whenever a monster loses a stat, put a counter on this card.Then if there are 3 or more counters on this card, you may remove 3 and reduce any stat of target monster by 1."
"Retainer Ranking System";"Tool";"HR";"227/288";"1";"";"";"";"";"";"When a monster enters the wilds";"";"You may look at the top card of your Expedition deck. You may put it on the bottom. Reset this tool."
"Last Specimen";"Retainer";"CH";"173/288";"3";"";"-1";"0";"0";"-1";"";"2";"When this retainer is discarded, you may return another retainer from your discard pile to your hand."
"Leaving a Blood Trail";"Event";"CH";"175/288";"1";"";"";"";"";"";"";"";"Discard a retainer. If you did, target monster loses 2 health and 2 stability."
"Adaptive Strategy";"Disposable Tool";"RT";"55/288";"2";"";"";"";"";"";"-";"";"Choose one:
 * Return a retainer you control to your hand.
 * Move an assigned retainer you control to another monster.
 * Target retainer you control gains 1 stamina."
"Unending Fighter";"Retainer";"CH";"276/288";"";"";"-1";"0";"0";"-1";"";"1";"This retainer cannot be exhausted in the adventure phase."
"Precision Equipment";"Tool";"HR";"206/288";"2";"";"";"";"";"";"When a retainer you control is assigned";"";"You may switch two of its modifiers. Reset this tool."
"Shared Observation";"Disposable Tool";"RT";"248/288";"1";"";"";"";"";"";"-";"";"Draw a card for each different monster you have retainers assigned to."
"False Loyalty";"Event";"TC";"128/288";"2";"";"";"";"";"";"";"";"Target retainer controlled by another player loses 1 stamina.
 If it is discarded this round, you may return it to the wilds under your control with 1 stamina."
"Disposable Training";"Event";"TC";"115/288";"1";"";"";"";"";"";"";"";"Exhaust a target retainer you control.
 If you did, another retainer you control gains +2 stamina."
"Anatomical Weakness Chart";"Tool";"HR";"56/288";"3";"";"";"";"";"";"When a Beast or Plant Monster enters the wilds";"";"Choose one:
* Reduce that monster's health by 2.
* Reduce that monster's mystery by 2."
"Magical Autopsy Team";"Retainer";"HR";"182/288";"3";"";"-1";"0";"-1";"0";"";"4";"When you claim an arcane monster, draw 1 card."
"Limb Classification";"Event";"HR";"179/288";"2";"";"";"";"";"";"";"";"Choose a monster category.
All monsters of that category lose 2 health and 2 mystery."
"Apex Nest";"Biome";"CH";"57/288";"5";"";"";"";"";"";"";"";"Beast monsters enter the wilds with 2 less health and 2 less stability."
"Wildlife Observationist";"Retainer";"RT";"287/288";"3";"";"0";"-2";"-1";"+1";"";"4";"When this retainer is assigned to a Plant, or Beast Monster, draw a card."
"Corrupted Companion";"Retainer";"TC";"99/288";"3";"";"0";"-2";"0";"-2";"";"4";"If assigned to a non-Beast monster, this retainer gains +1 to all modifiers."
"Root Network";"Tool";"RT";"233/288";"2";"";"";"";"";"";"When a Plant or Spore Monster enters the wilds";"";"That monster loses 2 mystery and 2 suspicion.Reset this tool."
"Buying First";"Event";"TC";"75/288";"5";"";"";"";"";"";"";"";"You are the first player next round."
"Rival's Ledger";"Disposable Tool";"CH";"232/288";"1";"";"";"";"";"";"At the start of the main phase";"";"The first player of this round reveals their hand to you."
"Blood Debt";"Event";"TC";"68/288";"2";"";"";"";"";"";"";"";"You may play target tool or retainer card from an opponents discard pile this round.If you do, they draw a card."
"Rival Observation";"Tool";"RT";"231/288";"4";"";"";"";"";"";"During the draw phase";"";"if you are not the first player, draw an extra card."
"Chain of Custody";"Disposable Tool";"HR";"84/288";"1";"";"";"";"";"";"In the Main pahse while you are the first player this round";"";"Look at the top 2 cards of your Expedition deck. Draw one, discard the other."
"Monoculture Experimentation Plant";"Biome";"RT";"191/288";"4";"";"";"";"";"";"";"";"As this biome enters the wilds, choose a monster category.
All monsters of that category are warded."
"Gentle Relocation";"Disposable Tool";"RT";"153/288";"4";"";"";"";"";"";"During the adventure phase";"";"Choose two different monsters. Exchange all retainers assigned to them."
"Mutagenic Habitat";"Biome";"TC";"197/288";"3";"";"";"";"";"";"";"";"Whenever the categories of a monster change, you gain 1 track."
"Tainted Companion";"Retainer";"TC";"261/288";"3";"";"0";"-1";"0";"-1";"";"4";"Monsters this retainer is assigned to and their stats can't be warded."
"Feeding Frenzy";"Event";"CH";"131/288";"3";"";"";"";"";"";"";"";"Exhaust any number of retainers you control.
Target monster loses 1 Health or 1 Stability for each retainer exhausted this way."
"Ruthless Survivor";"Retainer";"CH";"235/288";"3";"";"-1";"0";"0";"-1";"";"3";"When another retainer you control is discarded, this retainer gains 1 stamina."
"Forced to Dig";"Event";"CH";"145/288";"2";"";"";"";"";"";"";"";"Choose 2 retainers you control, exhaust them.If you did draw 2 cards."
"Optimisation Specialist";"Retainer";"RT";"202/288";"3";"";"0";"-1";"-1";"0";"";"3";"When this retainer gets unassigned from a monster ward one of that monster's highest stats."
"Carrion Enjoyer";"Retainer";"CH";"82/288";"3";"";"-1";"0";"0";"-1";"";"2";"When this retainer enters the wilds, discard another retainer.This retainer gains stamina equal to the discarded retainer's stamina."
"Forced Evasion";"Event";"CH";"142/288";"4";"";"";"";"";"";"";"";"Put target monster with less than 3 health or less than 3 stability on the bottom of the monster deck."
"Unnatural Adaption";"Event";"TC";"278/288";"2";"";"";"";"";"";"";"";"Target monster gains a category of your choice until end of round."
"Corrupted Bureaucracy";"Tool";"TC";"98/288";"3";"";"";"";"";"";"When an opponent activates a tool";"";"They lose 1 track."
"False Regulations";"Event";"TC";"129/288";"3";"";"";"";"";"";"";"";"Choose Retainer, Event, Tool, or Biome. Cards of the chosen type can't be played this round."
"Beurocratic Sabotage";"Disposable Tool";"TC";"65/288";"1";"";"";"";"";"";"When an opponent plays an Event";"";"Its controller may discard a card. If they don't, cancel that event."
"Misinformation Campaign";"Event";"TC";"187/288";"4";"";"";"";"";"";"";"";"Players can't gain tracks or draw cards until the next round."
